scraper_name,url,source
MyDavenportScraper,https://www.mydavenport.org/commissionagendas,test_file
DocumentCenterScraper,https://www.pepperpike.org/DocumentCenter,test_file
ByramTownshipScraper,https://www.byramtwp.org/index.php/meetings/council,test_file
ClackamasPlanningScraper,https://www.clackamas.us/meetings/bcc/business,docstring
EBoardSolutionsScraper,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=36030373,test_file
EscribeScraper,https://pub-alamance-nc.escribemeetings.com/?Year=2024,test_file
PlatteCountyWYScraper,https://www.plattecountywyoming.com/meetings,test_file
DocumentCenterScraper,https://daniabeachfl.gov/DocumentCenter/Index/369,test_file
CityOfFairwayKSScraper,https://fairwaykansas.org/?SEC=9F2D6E4F-4BC3-4D37-A801-6A9477AE6E91,test_file
JuniperMeetingsScraper,https://cityofoakleyks.gov/meetings/,test_file
YumaCountyAzScraper,https://www.yumacountyaz.gov/government/development-services/meetings/meeting-minutes,test_file
HarmonyScraper,https://virginiageneralassembly.gov/house/chamber/chamberstream.php,test_file
CivicCenterScraper,https://civiccentertv.com/category/meetings/keego-harbor-city-council/,test_file
VillageSussexScraper,https://www.villagesussex.org/government/agendas-minutes/recordings,test_file
NetappsScraper,https://netapps.ocfl.net/Mod/meetings/4,test_file
WhiteCountyScraper,https://portal.sbsportals.com/modules/document-center.php?guid=175598202,test_file
CityOfBristowOKScraper,https://www.cityofbristowok.org/meeting-minutes,test_file
MyChoctawScraper,https://www.mychoctaw.org/documents/government/agenda-center/planning-commission/21271747,test_file
CityOfHillsboroScraper,https://www.tonganoxie.org/node/1721/agenda/2025,test_file
DavidsonAgendaSuite,https://agendasuite.org/iip/davidson/agendaitem/list,test_file
GovMeetingTableScraper,https://www.valleycenterks.gov/government/city_council/agendas_minutes.php,test_file
PjmPdfScraper,https://www.pjm.com/committees-and-groups/committees/srrtep-s,test_file
AgendaLinkAgendaScraper,https://horizon.agendalink.app/engage/lomalindaca/agendas,test_file
MeetingMunicodeScraper,https://meetings.municode.com/MeetingsPage/index?clientCode=LEEDSALAB,test_file
VolusiaScraper,https://www.volusia.org/government/county-council/county-council-meetings/archived-audio.stml,test_file
IowaLegisScraper,https://www.legis.iowa.gov/chambers/video/archive?chamber=S,test_file
UpperMacungieScraper,https://www.uppermac.org/boards-commissions/agendas-minutes/-folder-66#docfold_14_148_173_66,test_file
IrvingIsdIstvScraper,https://istv.irvingisd.net/categories/board-of-trustees,test_file
MunicodeLibraryScraper,https://meetings.municode.com/PublishPage?cid=COOPERCITY&ppid=39c9b04d-c98b-4fde-837f-6ec043ed0dd2&p=1,test_file
PittstonScraper,https://www.pittstonmaine.org/index.asp?SEC=4327D20A-B76A-4DB1-9035-A918DE103CA2&DE=36375C17-1005-4F72-8DAE-031D5CC24F28&Type=B_BASIC&mobile=false,test_file
CityOfTempeScraper,https://publicdocumentarchive.tempe.gov/,test_file
NorthChicagoScraper,https://www.northchicago.org/index.asp?sec=49cba538-63d3-477f-9f46-ce01bc5427fa,test_file
OnbaseAgendaOnlineScraper,https://tampagov.hylandcloud.com/221agendaonline/Meetings,test_file
GovMeetingTableScraper,https://www.ci.sealy.tx.us/government/meeting_agendas_and_minutes/city_council.php,docstring
BoroughOfSayrevilleScraper,https://www.sayreville.com/cn/meetings/?did=1510,test_file
BartowCountyGAScraper,https://www.bartowcountyga.gov/departments/county_commissioner/public_meeting_minutes/index.php,test_file
SouthwestPowerPoolScraper,https://www.spp.org/spp-documents-filings/?id=370801,test_file
DocumentCenterScraper,https://www.ycpc.org/DocumentCenter/Index/30,test_file
ChampdsScraper,https://play.champds.com/northmiamifl/archive/1,test_file
ChicagoPlanCommissionScraper,https://www.chicago.gov/city/en/depts/dcd/chicago-plan-commission/meetings--agendas---video-archives.html,test_file
MyDavenportScraper,https://www.mydavenport.org/commissionminutes,test_file
TexasHouseScraper,https://house.texas.gov/videos/committees/89/R,test_file
FifeWashingtonScraper,https://www.fifewa.gov/448/Meetings-and-Agendas,test_file
